sample	clade_name	clade_taxid	relative_abundance	estimated_number_of_reads_from_the_clade
ERS11453813	k__Bacteria|p__Atribacterota|c__Atribacterota_unclassified|o__Atribacterota_unclassified|f__Atribacterota_unclassified|g__GGB4172|s__GGB4172_SGB5654	2|67818|||||	79.50598	445486
ERS11453813	k__Bacteria|p__Actinobacteria|c__CFGB36138|o__OFGB36138|f__FGB36138|g__GGB36138|s__GGB36138_SGB55299	2|201174|||||	6.76174	38636
ERS11453813	k__Bacteria|p__Proteobacteria|c__CFGB47313|o__OFGB47313|f__FGB47313|g__GGB58410|s__GGB58410_SGB80065	2|1224|||||	5.31729	39224
ERS11453813	k__Bacteria|p__Caldiserica|c__CFGB26792|o__OFGB26792|f__FGB26792|g__GGB34634|s__GGB34634_SGB51827	2|67814|||||	3.49494	13486
ERS11453813	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__GGB38478|s__GGB38478_SGB55612	2|201174|1760|85007|1762||	2.62371	27548
ERS11453813	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales|f__Syntrophaceae|g__GGB74480|s__GGB74480_SGB37836	2|1224|28221|2914038|213468||	1.05656	9795
ERS11453813	k__Archaea|p__Euryarchaeota|c__CFGB10638|o__OFGB10638|f__FGB10638|g__GGB39579|s__GGB39579_SGB75387	2157|28890|||||	0.42813	1939
ERS11453813	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Prochlorococcaceae|g__Cyanobium|s__Cyanobium_usitatum	2|1117||1890424|2881426|167375|2304190	0.34317	2303
ERS11453813	k__Bacteria|p__Candidatus_Aminicenantes|c__CFGB8775|o__OFGB8775|f__FGB8775|g__GGB63485|s__GGB63485_SGB85795	2|67817|||||	0.16577	1244
ERS11453813	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetia_unclassified|f__Actinomycetia_unclassified|g__Actinomycetia_unclassified|s__Actinobacteria_bacterium_IMCC26207	2|201174|1760||||1641811	0.135	1271
ERS11453813	k__Bacteria|p__Proteobacteria|c__CFGB8510|o__OFGB8510|f__FGB8510|g__GGB63136|s__GGB63136_SGB85401	2|1224|||||	0.07529	599
ERS11453813	k__Bacteria|p__Atribacterota|c__Atribacterota_unclassified|o__Atribacterota_unclassified|f__Atribacterota_unclassified|g__Atribacterota_unclassified|s__Atribacteria_bacterium_SCGC_AAA252_M02	2|67818|||||913317	0.02481	223
ERS11453813	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp_CBW1108	2|1117||1890424|1890426|1129|1353147	0.02319	208
ERS11453813	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales|f__Microcoleaceae|g__Planktothrix|s__Planktothrix_agardhii	2|1117||1150|1892252|54304|1160	0.01911	320
ERS11453813	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae|g__GGB54138|s__GGB54138_SGB75334	2157|28890|224756|2191|1198451||	0.01746	110
ERS11453813	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium|s__Mycolicibacterium_sp_CR10	2|201174|1760|85007|1762|1866885|2562314	0.0059	106
ERS11453813	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp_1G10	2|1117||1890424|1890426|1129|2025605	0.00196	18
ERS4181284	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema|s__Treponema_peruense	2|203691|203692|136|2845253|157|2787628	14.36924	3182758
ERS4181284	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__GGB2631|s__GGB2631_SGB3548	2|201174|1760|2037|2049||	9.46038	2455277
ERS4181284	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__GGB6123|s__GGB6123_SGB8768	2|1224|29547|213849|72293||	5.73375	1534384
ERS4181284	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema|s__Treponema_berlinense	2|203691|203692|136|2845253|157|225004	3.35868	762338
ERS4181284	k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__GGB12693|s__GGB12693_SGB19690	2|74152|641853|641854|641876||	3.29529	566100
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_B	2|976|200643|171549|171552|838|165179	3.25652	1040225
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_C	2|976|200643|171549|171552|838|165179	3.20104	1052771
ERS4181284	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale	2|1239|186801|186802|186803||39491	2.11749	576756
ERS4181284	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__GGB6520|s__GGB6520_SGB9209	2|1239|91061|1385|90964||	1.70586	637457
ERS4181284	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema|s__Treponema_succinifaciens	2|203691|203692|136|2845253|157|167	1.42184	326957
ERS4181284	k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9758|s__GGB9758_SGB15368	2|1239|||||	1.40709	436603
ERS4181284	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__GGB9082|s__GGB9082_SGB14007	2|1224|28216|80840|75682||	1.35811	324773
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1635	2|976|200643|171549|171552|838|	1.35397	539192
ERS4181284	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1243|s__GGB1243_SGB1663	2|976|200643|171549|171552||	1.2164	408121
ERS4181284	k__Bacteria|p__Lentisphaerae|c__CFGB3176|o__OFGB3176|f__FGB3176|g__GGB13152|s__GGB13152_SGB20361	2|256845|||||	1.08562	288591
